P1,F
-5.0,-366.0328584698877
-4.997999599919984,-371.93273304171544
-4.995999199839968,-363.62365467895705
-4.993998799759952,-354.42105138171445
-4.991998399679936,-371.54405329064264
-4.98999799959992,-371.09541827821323
-4.987997599519904,-352.51380914257066
-4.985997199439888,-360.18383787456315
-4.983996799359872,-372.1055360293277
-4.981996399279856,-361.53815772935627
-4.97999599919984,-371.1512599358435
-4.977995599119824,-370.7280640891032
-4.975995199039808,-363.20518594251456
-4.973994798959792,-384.312011624533
-4.971994398879776,-381.98314629378524
-4.96999399879976,-369.91196017859755
-4.967993598719744,-373.97287098981167
-4.965993198639728,-360.25791919945465
-4.963992798559712,-372.03682371413316
-4.961992398479696,-376.6361679562751
-4.95999199839968,-347.41354864410863
-4.957991598319664,-363.8850619909061
-4.955991198239648,-360.5096367101061
-4.953990798159632,-374.99037736420627
-4.951990398079616,-365.7450563224651
-4.9499899979996,-358.7506934412249
-4.947989597919584,-370.92890191553926
-4.945989197839568,-355.22138915864804
-4.943988797759552,-364.54451569579084
-4.941988397679536,-361.01518185865666
-4.93998799759952,-363.6757820126755
-4.937987597519504,-338.6967613964001
-4.935987197439488,-356.91569851734033
-4.933986797359472,-366.91937412126896
-4.931986397279456,-347.67870966161786
-4.92998599719944,-367.67484447840417
-4.927985597119424,-352.94037632570866
-4.925985197039408,-374.18867276854775
-4.923984796959392,-367.4371460855732
-4.921984396879376,-351.7503419734953
-4.91998399679936,-345.8983117925022
-4.917983596719344,-351.13367242141237
-4.915983196639328,-353.56856993454966
-4.913982796559312,-354.98821003632816
-4.911982396479296,-366.32783290220414
-4.90998199639928,-358.30684880481164
-4.907981596319264,-355.28094181295074
-4.905981196239248,-339.66983273971925
-4.903980796159232,-346.3717263767602
-4.901980396079216,-367.0055183245028
-4.8999799959992,-345.70183765916613
-4.897979595919184,-352.3614136792374
-4.895979195839168,-354.84807719572893
-4.893978795759152,-341.5307132734044
-4.891978395679136,-336.90645241345953
-4.88997799559912,-337.47297028723864
-4.887977595519104,-354.7476227698981
-4.885977195439088,-349.0175994306577
-4.883976795359072,-342.1832214237003
-4.881976395279056,-335.3111363191326
-4.87997599519904,-349.42941346437294
-4.877975595119024,-346.06569584697934
-4.875975195039008,-354.84424216959314
-4.8739747949589916,-355.3150962302156
-4.8719743948789755,-334.8002603919407
-4.8699739947989595,-328.9359578791596
-4.8679735947189435,-342.79164970808137
-4.8659731946389275,-331.60976047510655
-4.8639727945589115,-337.6026206555512
-4.8619723944788955,-347.2444202502453
-4.8599719943988795,-336.75385864935566
-4.8579715943188635,-324.5623910980186
-4.8559711942388475,-339.87630912592266
-4.8539707941588315,-323.4472539186478
-4.8519703940788155,-364.8671328853836
-4.8499699939987995,-330.02699765007924
-4.8479695939187835,-336.9522421983557
-4.8459691938387675,-340.3898257657762
-4.8439687937587514,-336.05953292553045
-4.841968393678735,-356.4305671719635
-4.839967993598719,-338.3296830006138
