P1,F
-5.0,-371.0
-4.997999599919984,-370.5500900300036
-4.995999199839968,-370.100540059964
-4.993998799759952,-369.6513499457947
-4.991998399679936,-369.20251954340927
-4.98999799959992,-368.7540487087214
-4.987997599519904,-368.30593729764456
-4.985997199439888,-367.85818516609226
-4.983996799359872,-367.4107921699782
-4.981996399279856,-366.9637581652159
-4.97999599919984,-366.51708300771884
-4.977995599119824,-366.07076655340063
-4.975995199039808,-365.6248086581749
-4.973994798959792,-365.17920917795504
-4.971994398879776,-364.7339679686549
-4.96999399879976,-364.2890848861878
-4.967993598719744,-363.8445597864674
-4.965993198639728,-363.40039252540737
-4.963992798559712,-362.95658295892105
-4.961992398479696,-362.51313094292215
-4.95999199839968,-362.0700363333242
-4.957991598319664,-361.6272989860407
-4.955991198239648,-361.1849187569854
-4.953990798159632,-360.7428955020717
-4.951990398079616,-360.30122907721324
-4.9499899979996,-359.85991933832355
-4.947989597919584,-359.4189661413162
-4.945989197839568,-358.97836934210477
-4.943988797759552,-358.5381287966028
-4.941988397679536,-358.09824436072387
-4.93998799759952,-357.65871589038153
-4.937987597519504,-357.2195432414895
-4.935987197439488,-356.780726269961
-4.933986797359472,-356.34226483170994
-4.931986397279456,-355.90415878264974
-4.92998599719944,-355.46640797869395
-4.927985597119424,-355.0290122757562
-4.925985197039408,-354.59197152974997
-4.923984796959392,-354.1552855965889
-4.921984396879376,-353.71895433218657
-4.91998399679936,-353.28297759245635
-4.917983596719344,-352.8473552333121
-4.915983196639328,-352.41208711066724
-4.913982796559312,-351.97717308043525
-4.911982396479296,-351.5426129985299
-4.90998199639928,-351.10840672086454
-4.907981596319264,-350.6745541033529
-4.905981196239248,-350.2410550019084
-4.903980796159232,-349.8079092724448
-4.901980396079216,-349.3751167708755
-4.8999799959992,-348.9426773531141
-4.897979595919184,-348.51059087507423
-4.895979195839168,-348.0788571926693
-4.893978795759152,-347.6474761618131
-4.891978395679136,-347.216447638419
-4.88997799559912,-346.78577147840065
-4.887977595519104,-346.3554475376717
-4.885977195439088,-345.9254756721455
-4.883976795359072,-345.4958557377359
-4.881976395279056,-345.06658759035616
-4.87997599519904,-344.63767108592003
-4.877975595119024,-344.20910608034114
-4.875975195039008,-343.78089242953286
-4.8739747949589916,-343.35302998940887
-4.8719743948789755,-342.92551861588265
-4.8699739947989595,-342.49835816486785
-4.8679735947189435,-342.07154849227805
-4.8659731946389275,-341.6450894540268
-4.8639727945589115,-341.2189809060276
-4.8619723944788955,-340.7932227041941
-4.8599719943988795,-340.3678147044398
-4.8579715943188635,-339.9427567626783
-4.8559711942388475,-339.51804873482314
-4.8539707941588315,-339.09369047678786
