,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,1,
2,,,,,,,,,,1,,,,,,,,,,,,
3,,,1,,,,,,,,,,,,,,,,,,,
4,,,,,,,,1,,,,,,,,,,,,,,
5,,1,,,,,,,,,,,,,,,,,,,,
6,,,,,,,1,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,1,,,,
8,,,,,,,,,,,,,,,,1,,,,,,
9,,,,,1,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,1,,,,
11,,,,,,,,,,,,0.88675874,,,,,,,,0.110231206,,
12,,,,,,,,,,,,,,1,,,,,,,,
13,,,,,,0.2826241,,,,,,,,,0.29350352,,0.2718002,,,,,
14,,,,,,,,,,,,0.11173857,,,,,,,,,,
15,,,,,,0.014635243,,,,,0.46494716,,,,,,,,0.4910712,,,
16,,,,0.3332025,,,,,0.3332124,,,,0.33320925,,,,,,,,,
17,,,,,,0.3332507,,,,,,,,,0.3227488,,0.34396952,,,,,
18,,,,,,0.33311185,,,,,,,,,0.3314952,,0.33449158,,,,,
19,,,,,,,,,,,0.5070836,,0.007772274,,,,,,0.46946162,,,
20,,,,0.33317715,,,,,0.33317673,,,,0.33321723,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,1
