S. No.,Comp Ratio,Temp,PERTURB,Hidden_Layers_comp,Original Val Loss,Comp_val_Loss,R^2 score
1,1,80,0.0005,Excluding first,0.00021,0.001300,0.995320
2,1,80,0.005,Excluding first,0.00021,0.001700,0.993210
3,0.9,80,0.0005,Excluding first,0.00021,0.033276,0.971040
4,0.9,80,0.001,Excluding first,0.00021,0.033301,0.971020
5,0.9,80,0.005,Excluding first,0.00021,0.030621,0.973350
6,0.9,80,0.01,Excluding first,0.00021,0.030211,0.973710
7,0.8,80,0.0005,Excluding first,0.00021,0.046849,0.959230
8,0.8,80,0.001,Excluding first,0.00021,0.046646,0.959410
9,0.8,80,0.005,Excluding first,0.00021,0.044479,0.961290
10,0.8,80,0.01,Excluding first,0.00021,0.039372,0.965737
11,0.7,80,0.0005,Excluding first,0.00021,0.599689,0.478139
12,0.7,80,0.001,Excluding first,0.00021,0.599084,0.478665
13,0.7,80,0.005,Excluding first,0.00021,0.595766,0.481553
14,0.7,80,0.01,Excluding first,0.00021,0.588308,0.488042
15,0.6,80,0.0005,Excluding first,0.00021,0.681296,0.407122
16,0.6,80,0.001,Excluding first,0.00021,0.551817,0.519797
17,0.6,80,0.005,Excluding first,0.00021,0.680412,0.407892
18,0.6,80,0.01,Excluding first,0.00021,0.679259,0.408895
19,0.5,80,0.0005,Excluding first,0.00021,0.709224,0.382820
20,0.5,80,0.001,Excluding first,0.00021,0.708762,0.383220
21,0.5,80,0.005,Excluding first,0.00021,0.701411,0.389620
22,0.5,80,0.01,Excluding first,0.00021,0.705845,0.385760
23,0.4,80,0.0005,Excluding first,0.00021,0.794248,0.308830
24,0.4,80,0.001,Excluding first,0.00021,0.793586,0.309406
25,0.4,80,0.005,Excluding first,0.00021,0.791116,0.311555
26,0.4,80,0.01,Excluding first,0.00021,0.791409,0.311300
27,0.3,80,0.0005,Excluding first,0.00021,1.560792,-0.358232
28,0.3,80,0.001,Excluding first,0.00021,1.560572,-0.358041
29,0.3,80,0.005,Excluding first,0.00021,1.557947,-0.355757
30,0.3,80,0.01,Excluding first,0.00021,1.555917,-0.353990
31,0.2,80,0.0005,Excluding first,0.00021,1.663686,-0.447773
32,0.2,80,0.001,Excluding first,0.00021,1.663573,-0.447674
33,0.2,80,0.005,Excluding first,0.00021,1.663807,-0.447878
34,0.2,80,0.01,Excluding first,0.00021,1.660473,-0.444977
35,0.1,80,0.0005,Excluding first,0.00021,1.811061,-0.576020
36,0.1,80,0.001,Excluding first,0.00021,1.811012,-0.575980
37,0.1,80,0.005,Excluding first,0.00021,1.810625,-0.575640
