,0,1,2,3,4,5,6,7,8,9
0,0.00015,2.93445,-3.25422,0.56991,0.69638,0.00096,0.00088,0.00105,0.00055,0.00038
1,0.00045,0.00053,0.00091,0.00044,0.00028,0.57873,1.69956,1.39717,-0.04348,7e-05
2,0.00022,0.00029,0.00074,1e-04,0.00051,-0.08156,-0.62147,1.18796,0.08538,0.00046
3,0.00011,0.00068,0.00108,0.00044,0.00076,0.56926,-0.38164,-2.44848,-0.91461,0.00048
4,5e-05,0.00061,0.0008,0.00042,0.00122,-0.00188,0.11398,-0.79994,-0.29889,0.00026
5,0.00026,0.00074,0.00094,0.00041,0.00043,0.00053,0.0008,0.00057,0.00023,0.0961
6,0.00012,0.00054,0.0007,0.00041,0.00087,0.00051,0.00023,0.00059,0.00076,0.59577
7,0.0003,0.00058,0.00057,4e-05,0.0011,0.00055,0.00059,0.00096,0.00039,-0.5384
8,0.00026,0.00048,0.00107,0.00047,9e-05,0.00113,0.00056,0.00076,0.00021,-0.29431
9,0.00019,0.00082,0.00122,0.00015,0.00085,0.00059,0.00027,0.00092,0.00034,0.00042
